## RESOURCE, PROTO, MICRO RDK, PYTHON METHOD, GO METHOD, FLUTTER METHOD, TYPESCRIPT METHOD

## Arm
arm,GetEndPosition,,get_end_position,EndPosition,endPosition,getEndPosition
arm,MoveToPosition,,move_to_position,MoveToPosition,moveToPosition,moveToPosition
arm,MoveToJointPositions,,move_to_joint_positions,MoveToJointPositions,moveToJointPositions,moveToJointPositions
arm,MoveThroughJointPositions,,,MoveThroughJointPositions,,
arm,GetJointPositions,,get_joint_positions,JointPositions,jointPositions,getJointPositions
arm,Get3DModels,,,Get3DModels,get3DModels,get3DModels
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
arm,GetKinematics,,get_kinematics,Kinematics,,getKinematics
arm,IsMoving,,is_moving,IsMoving,isMoving,isMoving
arm,Stop,,stop,Stop,stop,stop
arm,GetGeometries,,get_geometries,Geometries,,getGeometries
arm,Reconfigure,,,Reconfigure,,
arm,DoCommand,,do_command,DoCommand,doCommand,doCommand
arm,GetResourceName,,get_resource_name,Name,getResourceName,name
arm,Close,,close,Close,,

## AudioIn
audio_in,GetAudio,,get_audio,GetAudio,getAudio,getAudio
audio_in,GetProperties,,get_properties,Properties,getProperties,getProperties
audio_in,GetGeometries,,get_geometries,,,
audio_in,Reconfigure,,,Reconfigure,,
audio_in,DoCommand,,do_command,DoCommand,doCommand,doCommand
audio_in,GetResourceName,,get_resource_name,Name,,name
audio_in,Close,,close,Close,,

## AudioOut
audio_out,Play,,play,Play,play,play
audio_out,GetProperties,,get_properties,Properties,getProperties,getProperties
audio_out,GetGeometries,,get_geometries,,,
audio_out,Reconfigure,,,Reconfigure,,
audio_out,DoCommand,,do_command,DoCommand,doCommand,doCommand
audio_out,GetResourceName,,get_resource_name,Name,,name
audio_out,Close,,close,Close,,

## Base
base,MoveStraight,No,move_straight,MoveStraight,moveStraight,moveStraight
base,Spin,No,spin,Spin,spin,spin
base,SetPower,Yes,set_power,SetPower,setPower,setPower
base,SetVelocity,No,set_velocity,SetVelocity,setVelocity,setVelocity
base,GetProperties,No,get_properties,Properties,properties,getProperties
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
base,IsMoving,No,is_moving,IsMoving,isMoving,isMoving
base,Stop,Yes,stop,Stop,stop,stop
base,GetGeometries,No,get_geometries,Geometries,,getGeometries
base,Reconfigure,No,,Reconfigure,,
base,DoCommand,Yes,do_command,DoCommand,doCommand,doCommand
base,GetResourceName,No,get_resource_name,Name,getResourceName,name
base,Close,No,close,Close,,

## Board
board,SetGPIO,Yes,set,Set,setGpioState,setGPIO
board,GetGPIO,Yes,get,Get,gpio,getGPIO
## HACK: Proto is PWM but we call it GetPWM in docs. Upstream likely to change to match soonish:
board,GetPWM,Yes,get_pwm,PWM,pwm,getPWM
board,SetPWM,Yes,set_pwm,SetPWM,setPwm,setPWM
board,PWMFrequency,Yes,get_pwm_frequency,PWMFreq,pwmFrequency,getPWMFrequency
board,SetPWMFrequency,Yes,set_pwm_frequency,SetPWMFreq,setPwmFrequency,setPWMFrequency
board,GetDigitalInterruptValue,No,value,Value,digitalInterruptValue,getDigitalInterruptValue
board,ReadAnalogReader,Yes,read,Read,analogReaderValue,readAnalogReader
## HACK: PySDK: write_analog currently borked; deprecated in favor of write: https://python.viam.dev/autoapi/viam/components/board/client/index.html#viam.components.board.client.BoardClient.write_analog
board,WriteAnalog,Yes,write,Write,writeAnalog,writeAnalog
board,StreamTicks,No,stream_ticks,StreamTicks,streamTicks,streamTicks
board,SetPowerMode,No,set_power_mode,SetPowerMode,setPowerMode,setPowerMode
## HACK: Board (python, go) provides additional helper functions, adding 5 pseudo-entries:
board,AnalogByName,No,analog_by_name,AnalogByName,,
board,DigitalInterruptByName,No,digital_interrupt_by_name,DigitalInterruptByName,,
board,GPIOPinByName,No,gpio_pin_by_name,GPIOPinByName,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
board,GetGeometries,No,get_geometries,,,
board,Reconfigure,No,,Reconfigure,,
board,DoCommand,Yes,do_command,DoCommand,doCommand,doCommand
board,GetResourceName,No,get_resource_name,Name,getResourceName,name
board,Close,No,close,Close,,

## Button
button,Push,Yes,push,Push,push,push
button,Reconfigure,No,,Reconfigure,,
button,DoCommand,Yes,do_command,DoCommand,doCommand,doCommand
button,GetResourceName,No,get_resource_name,Name,getResourceName,name
button,Close,No,close,Close,,

## Camera
camera,GetImage,,get_image,Image,image,getImage
camera,GetImages,,get_images,Images,getImages,getImages
camera,RenderFrame,,,,,renderFrame
camera,GetPointCloud,,get_point_cloud,NextPointCloud,pointCloud,getPointCloud
camera,GetProperties,,get_properties,Properties,properties,getProperties
## TED: Camera in Go SDK doesn't appear to implement (inherit) these:
camera,DoCommand,,do_command,DoCommand,doCommand,doCommand
camera,GetGeometries,,get_geometries,Geometries,,getGeometries
## HACK:  proto for close, manually mapping:
camera,GetResourceName,,get_resource_name,Name,getResourceName,name
camera,Close,,close,Close,,

## Encoder
encoder,GetPosition,Yes,get_position,Position,,getPosition
encoder,ResetPosition,Yes,reset_position,ResetPosition,,resetPosition
encoder,GetProperties,Yes,get_properties,Properties,,getProperties
encoder,GetGeometries,No,get_geometries,,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
encoder,Reconfigure,No,,Reconfigure,,
